picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,m,,1,Grenoble
1.5,150,270,275,155,m,,2,Grenoble
1.5,45,270,275,265,m,,3,Grenoble
1.5,200,225,225,110,m,,4,Grenoble
1.5,100,225,225,200,m,,5,Grenoble
1.5,250,180,185,35,m,,6,Grenoble
1.5,45,180,185,279,mm,,7,Grenoble
1.5,150,180,185,155,m,,8,Grenoble
1.5,205,135,135,75,m,,9,Grenoble
1.5,90,135,135,240,m,,10,Grenoble
1.5,275,90,85,15,m,,11,Grenoble
1.5,195,90,85,110,m,,12,Grenoble
1.5,100,90,85,205,m,,13,Grenoble
1.5,25,90,85,300,m,,14,Grenoble
1.5,150,50,40,155,m,,15,Grenoble
1.5,45,315,355,265,m,,1,Mont-de-Marsan
1.5,150,315,355,155,m,,2,Mont-de-Marsan
1.5,250,315,355,50,m,,3,Mont-de-Marsan
1.5,200,360,405,200,m,,4,Mont-de-Marsan
1.5,100,360,405,110,m,,5,Mont-de-Marsan
1.5,45,405,450,279,m,,6,Mont-de-Marsan
1.5,250,405,450,35,m,,7,Mont-de-Marsan
1.5,150,405,450,155,m,,8,Mont-de-Marsan
1.5,90,450,500,240,m,,9,Mont-de-Marsan
1.5,205,450,500,75,m,,10,Mont-de-Marsan
1.5,25,495,545,300,m,,11,Mont-de-Marsan
1.5,105,495,545,205,m,,12,Mont-de-Marsan
1.5,200,495,545,110,m,,13,Mont-de-Marsan
1.5,275,495,545,15,m,,14,Mont-de-Marsan
1.5,150,535,590,155,m,,15,Mont-de-Marsan
