picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,vv,,1,Montpellier
1.5,150,270,275,155,vv,,2,Montpellier
1.5,45,270,275,265,vv,,3,Montpellier
1.5,200,225,225,110,vv,,4,Montpellier
1.5,100,225,225,200,vv,,5,Montpellier
1.5,250,180,185,35,vv,(C),6,Montpellier
1.5,45,180,185,279,vv,,7,Montpellier
1.5,150,180,185,155,vv,,8,Montpellier
1.5,205,135,135,75,vv,,9,Montpellier
1.5,90,135,135,240,vv,,10,Montpellier
1.5,275,90,85,15,vv,,11,Montpellier
1.5,195,90,85,110,vv,,12,Montpellier
1.5,100,90,85,205,vv,,13,Montpellier
1.5,25,90,85,300,vv,,14,Montpellier
1.5,150,50,40,155,vv,,15,Montpellier
1.5,45,315,355,265,xx,,1,Toulouse
1.5,150,315,355,155,xx,,2,Toulouse
1.5,250,315,355,50,xx,(C),3,Toulouse
1.5,200,360,405,200,xx,,4,Toulouse
1.5,100,360,405,110,xx,,5,Toulouse
1.5,45,405,450,279,xx,,6,Toulouse
1.5,250,405,450,35,xx,,7,Toulouse
1.5,150,405,450,155,xx,,8,Toulouse
1.5,90,450,500,240,xx,,9,Toulouse
1.5,205,450,500,75,xx,,10,Toulouse
1.5,25,495,545,300,xx,,11,Toulouse
1.5,105,495,545,205,vv,,12,Toulouse
1.5,200,495,545,110,vv,,13,Toulouse
1.5,275,495,545,15,vv,,14,Toulouse
1.5,150,535,590,155,vv,,15,Toulouse
